ID,NAME,MONTH,YEAR,RAIN,TMEAN
6,Pongola - SASRI,6,1976,0,15.7
6,Pongola - SASRI,7,1976,0,15.4
6,Pongola - SASRI,8,1976,2.9,16.5
6,Pongola - SASRI,9,1976,0.3,20.3
6,Pongola - SASRI,10,1976,112.3,21
6,Pongola - SASRI,11,1976,62.4,23.1
6,Pongola - SASRI,12,1976,31,25.3
6,Pongola - SASRI,1,1977,150.6,26.6
6,Pongola - SASRI,2,1977,117.7,24.8
6,Pongola - SASRI,3,1977,52.4,21.8
6,Pongola - SASRI,4,1977,2.5,21.6
6,Pongola - SASRI,5,1977,16.7,18.1
6,Pongola - SASRI,6,1977,4.3,16.7
6,Pongola - SASRI,7,1977,0,15.7
6,Pongola - SASRI,8,1977,7.8,17.4
6,Pongola - SASRI,9,1977,49.5,20.8
6,Pongola - SASRI,10,1977,31.1,22
6,Pongola - SASRI,11,1977,49.9,23
6,Pongola - SASRI,12,1977,123.6,25.8
6,Pongola - SASRI,1,1978,164.8,24.2
6,Pongola - SASRI,2,1978,87.5,24.9
6,Pongola - SASRI,3,1978,129.2,24.6
6,Pongola - SASRI,4,1978,32.2,20.7
6,Pongola - SASRI,5,1978,22.8,18.8
6,Pongola - SASRI,6,1978,1.4,15.5
6,Pongola - SASRI,7,1978,10.1,16.3
6,Pongola - SASRI,8,1978,22.5,19.8
6,Pongola - SASRI,9,1978,18.5,19.8
6,Pongola - SASRI,10,1978,168.2,20.8
6,Pongola - SASRI,11,1978,109.9,22.9
6,Pongola - SASRI,12,1978,32.1,23.9
6,Pongola - SASRI,1,1979,105,24.7
6,Pongola - SASRI,2,1979,36.7,26.3
6,Pongola - SASRI,3,1979,51.2,24.2
6,Pongola - SASRI,4,1979,65.1,22.2
6,Pongola - SASRI,5,1979,9.8,19.1
6,Pongola - SASRI,6,1979,0,16.8
6,Pongola - SASRI,7,1979,5.8,15.7
6,Pongola - SASRI,8,1979,27.5,18.6
6,Pongola - SASRI,9,1979,38.4,19
6,Pongola - SASRI,10,1979,59,22.2
6,Pongola - SASRI,11,1979,56.3,22.8
6,Pongola - SASRI,12,1979,84.8,24
6,Pongola - SASRI,1,1980,192.2,24.3
6,Pongola - SASRI,2,1980,70.2,24.7
6,Pongola - SASRI,3,1980,7.9,24.1
6,Pongola - SASRI,4,1980,31.5,21.8
6,Pongola - SASRI,5,1980,9.8,19.1
6,Pongola - SASRI,6,1980,0,16.3
6,Pongola - SASRI,7,1980,0,15.8
6,Pongola - SASRI,8,1980,10.8,18
6,Pongola - SASRI,9,1980,55.1,18.9
6,Pongola - SASRI,10,1980,19.2,21.4
6,Pongola - SASRI,11,1980,156,23.4
6,Pongola - SASRI,12,1980,138.4,25.3
6,Pongola - SASRI,1,1981,102.4,26.6
6,Pongola - SASRI,2,1981,57.1,24.2
6,Pongola - SASRI,3,1981,70.2,23.7
6,Pongola - SASRI,4,1981,3.3,21.7
6,Pongola - SASRI,5,1981,62.8,18.2
6,Pongola - SASRI,6,1981,28.4,15.4
6,Pongola - SASRI,7,1981,0,15.8
6,Pongola - SASRI,8,1981,19.8,16.8
6,Pongola - SASRI,9,1981,51,18.1
6,Pongola - SASRI,10,1981,64,19.2
6,Pongola - SASRI,11,1981,63.7,23.6
6,Pongola - SASRI,12,1981,40.1,23.3
6,Pongola - SASRI,1,1982,59.7,25.3
6,Pongola - SASRI,2,1982,20.3,25.7
6,Pongola - SASRI,3,1982,81.9,23.8
6,Pongola - SASRI,4,1982,68.9,21.1
6,Pongola - SASRI,5,1982,6.5,18.3
6,Pongola - SASRI,6,1982,0,16
6,Pongola - SASRI,7,1982,3,16.5
6,Pongola - SASRI,8,1982,0,18.2
6,Pongola - SASRI,9,1982,27.7,20.1
6,Pongola - SASRI,10,1982,109.2,20.8
6,Pongola - SASRI,11,1982,49.7,21.7
6,Pongola - SASRI,12,1982,29.6,25.2
6,Pongola - SASRI,1,1983,26.1,26.8
6,Pongola - SASRI,2,1983,12.8,25.7
6,Pongola - SASRI,3,1983,76.2,25.2
6,Pongola - SASRI,4,1983,25.1,23.6
6,Pongola - SASRI,5,1983,46.3,20.1
6,Pongola - SASRI,6,1983,9.2,17.3
6,Pongola - SASRI,7,1983,6.1,15.9
6,Pongola - SASRI,8,1983,23.9,17.2
6,Pongola - SASRI,9,1983,3.2,21.9
6,Pongola - SASRI,10,1983,59.7,21.3
6,Pongola - SASRI,11,1983,256.1,23
6,Pongola - SASRI,12,1983,105.2,23.9
6,Pongola - SASRI,1,1984,455.2,24.3
6,Pongola - SASRI,2,1984,44.9,23.8
6,Pongola - SASRI,3,1984,110,23.2
6,Pongola - SASRI,4,1984,30.1,21.6
6,Pongola - SASRI,5,1984,5.8,18.9
6,Pongola - SASRI,6,1984,44.5,15.9
6,Pongola - SASRI,7,1984,61,16.7
6,Pongola - SASRI,8,1984,69.3,17.1
6,Pongola - SASRI,9,1984,18,19.7
6,Pongola - SASRI,10,1984,83.7,21.8
6,Pongola - SASRI,11,1984,80.4,21.7
6,Pongola - SASRI,12,1984,57.5,24.4
6,Pongola - SASRI,1,1985,67.7,26.6
6,Pongola - SASRI,2,1985,254.5,25
6,Pongola - SASRI,3,1985,36.7,24.4
6,Pongola - SASRI,4,1985,11.8,21.9
6,Pongola - SASRI,5,1985,2.5,18.3
6,Pongola - SASRI,6,1985,7,17
6,Pongola - SASRI,7,1985,1,16.8
6,Pongola - SASRI,8,1985,0,18.7
6,Pongola - SASRI,9,1985,7.6,21.1
6,Pongola - SASRI,10,1985,58.1,23.3
6,Pongola - SASRI,11,1985,40.8,24.3
6,Pongola - SASRI,12,1985,93.9,24.6
6,Pongola - SASRI,1,1986,104.4,25.3
6,Pongola - SASRI,2,1986,121.3,24.2
6,Pongola - SASRI,3,1986,68.3,24.3
6,Pongola - SASRI,4,1986,64.5,21.9
6,Pongola - SASRI,5,1986,0,19.7
6,Pongola - SASRI,6,1986,29.2,16.8
6,Pongola - SASRI,7,1986,2.8,16.8
6,Pongola - SASRI,8,1986,4.8,19.3
6,Pongola - SASRI,9,1986,13.6,20.7
6,Pongola - SASRI,10,1986,22.8,22.6
6,Pongola - SASRI,11,1986,48.8,23.1
6,Pongola - SASRI,12,1986,122.1,25
6,Pongola - SASRI,1,1987,41,25.3
6,Pongola - SASRI,2,1987,63.6,27.3
6,Pongola - SASRI,3,1987,134.9,24.7
6,Pongola - SASRI,4,1987,57.6,22.7
6,Pongola - SASRI,5,1987,10.9,20.3
6,Pongola - SASRI,6,1987,3.7,16.2
6,Pongola - SASRI,7,1987,2.8,16.4
6,Pongola - SASRI,8,1987,56.6,17.5
6,Pongola - SASRI,9,1987,131.2,19.7
6,Pongola - SASRI,10,1987,70.9,20.2
6,Pongola - SASRI,11,1987,74.7,22.5
6,Pongola - SASRI,12,1987,34.2,25.7
6,Pongola - SASRI,1,1988,93.5,25.4
6,Pongola - SASRI,2,1988,91.9,25.9
6,Pongola - SASRI,3,1988,122.8,25.3
6,Pongola - SASRI,4,1988,31.9,22
6,Pongola - SASRI,5,1988,9.3,19.2
6,Pongola - SASRI,6,1988,29.3,16.2
6,Pongola - SASRI,7,1988,13.8,17.2
6,Pongola - SASRI,8,1988,19.3,19.5
6,Pongola - SASRI,9,1988,17.2,20.5
6,Pongola - SASRI,10,1988,134.9,21.4
6,Pongola - SASRI,11,1988,62,22.1
6,Pongola - SASRI,12,1988,113.7,23.1
6,Pongola - SASRI,1,1989,19,24.5
6,Pongola - SASRI,2,1989,201.7,24
6,Pongola - SASRI,3,1989,82.4,24.4
6,Pongola - SASRI,4,1989,20.4,20.9
6,Pongola - SASRI,5,1989,9.4,19.5
6,Pongola - SASRI,6,1989,54.9,16.7
6,Pongola - SASRI,7,1989,11,16.7
